date,sku,sales
2024-04-27,B202,21
2024-04-28,B202,15
2024-04-29,B202,17
2024-04-30,B202,20
2024-05-01,B202,22
2024-05-02,B202,16
2024-05-03,B202,18
2024-05-04,B202,21
2024-05-05,B202,23
2024-05-06,B202,17
2024-05-07,B202,19
2024-05-08,B202,22
2024-05-09,B202,24
2024-05-10,B202,18
2024-05-11,B202,20
2024-05-12,B202,23
2024-05-13,B202,25
2024-05-14,B202,19
2024-05-15,B202,21
2024-05-16,B202,24
2024-05-17,B202,26
2024-05-18,B202,20
2024-05-19,B202,22
2024-05-20,B202,25
2024-05-21,B202,27
2024-05-22,B202,21
2024-05-23,B202,23
2024-05-24,B202,26
2024-05-25,B202,28
2024-05-26,B202,22
2024-05-27,B202,24
2024-05-28,B202,27
2024-05-29,B202,29
2024-05-30,B202,23
2024-05-31,B202,25
2024-06-01,C303,25
2024-06-02,C303,30
2024-06-03,C303,35
2024-06-04,C303,28
2024-06-05,C303,32
2024-06-06,C303,38
2024-06-07,C303,42
2024-06-08,C303,30
2024-06-09,C303,34
2024-06-10,C303,40
2024-06-11,C303,44
2024-06-12,C303,32
2024-06-13,C303,36
2024-06-14,C303,42
2024-06-15,C303,46
2024-06-16,C303,34
2024-06-17,C303,38
2024-06-18,C303,44
2024-06-19,C303,48
2024-06-20,C303,36
2024-06-21,C303,40
2024-06-22,C303,46
2024-06-23,C303,50
2024-06-24,C303,38
2024-06-25,C303,42
2024-06-26,C303,48
2024-06-27,C303,52
2024-06-28,C303,40
2024-06-29,C303,44
2024-06-30,C303,50
2024-07-01,C303,54
2024-07-02,C303,42
2024-07-03,C303,46
2024-07-04,C303,52
2024-07-05,C303,56
2024-07-06,C303,44
2024-07-07,C303,48
2024-07-08,C303,54
2024-07-09,C303,58
2024-07-10,C303,46
2024-07-11,C303,50
2024-07-12,C303,56
2024-07-13,C303,60
2024-07-14,C303,48
2024-07-15,C303,52
2024-07-16,C303,58
2024-07-17,C303,62
2024-07-18,C303,50
2024-07-19,C303,54
2024-07-20,C303,60
2024-07-21,C303,64
2024-07-22,C303,52
2024-07-23,C303,56
2024-07-24,C303,62
2024-07-25,C303,66
2024-07-26,C303,54
2024-07-27,C303,58
2024-07-28,C303,64
2024-07-29,C303,68
2024-07-30,C303,56
2024-07-31,C303,60
2023-01-01,P001,27
2023-02-01,P001,29
2023-03-01,P001,32
2023-04-01,P001,37
2023-05-01,P001,45
2023-06-01,P001,53
2023-07-01,P001,57
2023-08-01,P001,55
2023-09-01,P001,49
2023-10-01,P001,41
2023-11-01,P001,35
2023-12-01,P001,31
2024-01-01,P001,29
2024-02-01,P001,31
2024-03-01,P001,35
2024-04-01,P001,40
2024-05-01,P001,49
2024-06-01,P001,57
2024-07-01,P001,62
2024-08-01,P001,60
2024-09-01,P001,54
2024-10-01,P001,46
2024-11-01,P001,40
2024-12-01,P001,35
2023-01-01,P002,28
2023-02-01,P002,30
2023-03-01,P002,33
2023-04-01,P002,38
2023-05-01,P002,46
2023-06-01,P002,54
2023-07-01,P002,58
2023-08-01,P002,56
2023-09-01,P002,50
2023-10-01,P002,42
2023-11-01,P002,36
2023-12-01,P002,32
2024-01-01,P002,30
2024-02-01,P002,32
2024-03-01,P002,36
2024-04-01,P002,41
2024-05-01,P002,50
2024-06-01,P002,58
2024-07-01,P002,63
2024-08-01,P002,61
2024-09-01,P002,55
2024-10-01,P002,47
2024-11-01,P002,41
2024-12-01,P002,36
2023-01-01,P003,29
2023-02-01,P003,31
2023-03-01,P003,34
2023-04-01,P003,39
2023-05-01,P003,47
2023-06-01,P003,55
2023-07-01,P003,59
2023-08-01,P003,57
2023-09-01,P003,51
2023-10-01,P003,43
2023-11-01,P003,37
2023-12-01,P003,33
2024-01-01,P003,31
2024-02-01,P003,33
2024-03-01,P003,37
2024-04-01,P003,42
2024-05-01,P003,51
2024-06-01,P003,59
2024-07-01,P003,64
2024-08-01,P003,62
2024-09-01,P003,56
2024-10-01,P003,48
2024-11-01,P003,42
2024-12-01,P003,37
2023-01-01,P004,30
2023-02-01,P004,32
2023-03-01,P004,35
2023-04-01,P004,40
2023-05-01,P004,48
2023-06-01,P004,56
2023-07-01,P004,60
2023-08-01,P004,58
2023-09-01,P004,52
2023-10-01,P004,44
2023-11-01,P004,38
2023-12-01,P004,34
2024-01-01,P004,32
2024-02-01,P004,35
2024-03-01,P004,38
2024-04-01,P004,43
2024-05-01,P004,52
2024-06-01,P004,60
2024-07-01,P004,65
2024-08-01,P004,63
2024-09-01,P004,56
2024-10-01,P004,49
2024-11-01,P004,41
2024-12-01,P004,37
2023-01-01,P005,31
2023-02-01,P005,33
2023-03-01,P005,36
2023-04-01,P005,41
2023-05-01,P005,49
2023-06-01,P005,57
2023-07-01,P005,61
2023-08-01,P005,59
2023-09-01,P005,53
2023-10-01,P005,45
2023-11-01,P005,39
2023-12-01,P005,35
2024-01-01,P005,34
2024-02-01,P005,36
2024-03-01,P005,40
2024-04-01,P005,44
2024-05-01,P005,53
2024-06-01,P005,62
2024-07-01,P005,66
2024-08-01,P005,64
2024-09-01,P005,58
2024-10-01,P005,49
2024-11-01,P005,43
2024-12-01,P005,38
2023-01-01,P006,32
2023-02-01,P006,34
2023-03-01,P006,37
2023-04-01,P006,42
2023-05-01,P006,50
2023-06-01,P006,58
2023-07-01,P006,62
2023-08-01,P006,60
2023-09-01,P006,54
2023-10-01,P006,46
2023-11-01,P006,40
2023-12-01,P006,36
2024-01-01,P006,35
2024-02-01,P006,37
2024-03-01,P006,41
2024-04-01,P006,46
2024-05-01,P006,54
2024-06-01,P006,63
2024-07-01,P006,68
2024-08-01,P006,66
2024-09-01,P006,59
2024-10-01,P006,51
2024-11-01,P006,45
2024-12-01,P006,39
2023-01-01,P007,33
2023-02-01,P007,35
2023-03-01,P007,38
2023-04-01,P007,43
2023-05-01,P007,51
2023-06-01,P007,59
2023-07-01,P007,63
2023-08-01,P007,61
2023-09-01,P007,55
2023-10-01,P007,47
2023-11-01,P007,41
2023-12-01,P007,37
2024-01-01,P007,36
2024-02-01,P007,38
2024-03-01,P007,42
2024-04-01,P007,47
2024-05-01,P007,55
2024-06-01,P007,64
2024-07-01,P007,69
2024-08-01,P007,67
2024-09-01,P007,60
2024-10-01,P007,52
2024-11-01,P007,46
2024-12-01,P007,40
2023-01-01,P008,34
2023-02-01,P008,36
2023-03-01,P008,39
2023-04-01,P008,44
2023-05-01,P008,52
2023-06-01,P008,60
2023-07-01,P008,64
2023-08-01,P008,62
2023-09-01,P008,56
2023-10-01,P008,48
2023-11-01,P008,42
2023-12-01,P008,38
2024-01-01,P008,37
2024-02-01,P008,39
2024-03-01,P008,43
2024-04-01,P008,48
2024-05-01,P008,56
2024-06-01,P008,65
2024-07-01,P008,70
2024-08-01,P008,68
2024-09-01,P008,61
2024-10-01,P008,53
2024-11-01,P008,47
2024-12-01,P008,41
2023-01-01,P009,35
2023-02-01,P009,37
2023-03-01,P009,40
2023-04-01,P009,45
2023-05-01,P009,53
2023-06-01,P009,61
2023-07-01,P009,65
2023-08-01,P009,63
2023-09-01,P009,57
2023-10-01,P009,49
2023-11-01,P009,43
2023-12-01,P009,39
2024-01-01,P009,38
2024-02-01,P009,40
2024-03-01,P009,44
2024-04-01,P009,49
2024-05-01,P009,57
2024-06-01,P009,66
2024-07-01,P009,71
2024-08-01,P009,69
2024-09-01,P009,62
2024-10-01,P009,54
2024-11-01,P009,48
2024-12-01,P009,42
2023-01-01,P010,29
2023-02-01,P010,31
2023-03-01,P010,34
2023-04-01,P010,39
2023-05-01,P010,47
2023-06-01,P010,55
2023-07-01,P010,59
2023-08-01,P010,57
2023-09-01,P010,51
2023-10-01,P010,43
2023-11-01,P010,37
2023-12-01,P010,33
2024-01-01,P010,31
2024-02-01,P010,33
2024-03-01,P010,37
2024-04-01,P010,42
2024-05-01,P010,51
2024-06-01,P010,59
2024-07-01,P010,64
2024-08-01,P010,62
2024-09-01,P010,56
2024-10-01,P010,48
2024-11-01,P010,42
2024-12-01,P010,37
2023-01-01,P011,30
2023-02-01,P011,32
2023-03-01,P011,35
2023-04-01,P011,40
2023-05-01,P011,48
2023-06-01,P011,56
2023-07-01,P011,60
2023-08-01,P011,58
2023-09-01,P011,52
2023-10-01,P011,44
2023-11-01,P011,38
2023-12-01,P011,34
2024-01-01,P011,32
2024-02-01,P011,35
2024-03-01,P011,38
2024-04-01,P011,43
2024-05-01,P011,52
2024-06-01,P011,60
2024-07-01,P011,65
2024-08-01,P011,63
2024-09-01,P011,56
2024-10-01,P011,49
2024-11-01,P011,41
2024-12-01,P011,37
2023-01-01,P012,31
2023-02-01,P012,33
2023-03-01,P012,36
2023-04-01,P012,41
2023-05-01,P012,49
2023-06-01,P012,57
2023-07-01,P012,61
2023-08-01,P012,59
2023-09-01,P012,53
2023-10-01,P012,45
2023-11-01,P012,39
2023-12-01,P012,35
2024-01-01,P012,34
2024-02-01,P012,36
2024-03-01,P012,40
2024-04-01,P012,44
2024-05-01,P012,53
2024-06-01,P012,62
2024-07-01,P012,66
2024-08-01,P012,64
2024-09-01,P012,58
2024-10-01,P012,49
2024-11-01,P012,43
2024-12-01,P012,38
2023-01-01,P013,32
2023-02-01,P013,34
2023-03-01,P013,37
2023-04-01,P013,42
2023-05-01,P013,50
2023-06-01,P013,58
2023-07-01,P013,62
2023-08-01,P013,60
2023-09-01,P013,54
2023-10-01,P013,46
2023-11-01,P013,40
2023-12-01,P013,36
2024-01-01,P013,35
2024-02-01,P013,37
2024-03-01,P013,41
2024-04-01,P013,46
2024-05-01,P013,54
2024-06-01,P013,63
2024-07-01,P013,68
2024-08-01,P013,66
2024-09-01,P013,59
2024-10-01,P013,51
2024-11-01,P013,45
2024-12-01,P013,39
2023-01-01,P014,33
2023-02-01,P014,35
2023-03-01,P014,38
2023-04-01,P014,43
2023-05-01,P014,51
2023-06-01,P014,59
2023-07-01,P014,63
2023-08-01,P014,61
2023-09-01,P014,55
2023-10-01,P014,47
2023-11-01,P014,41
2023-12-01,P014,37
2024-01-01,P014,36
2024-02-01,P014,38
2024-03-01,P014,42
2024-04-01,P014,47
2024-05-01,P014,55
2024-06-01,P014,64
2024-07-01,P014,69
2024-08-01,P014,67
2024-09-01,P014,60
2024-10-01,P014,52
2024-11-01,P014,46
2024-12-01,P014,40
